"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005003516495513","https://ae04.alicdn.com/kf/S2d50eb400955461ca4dcaf69b281129eu.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/335906647660.mp4","Messenger Bag Causal Women Shoulder Bag Multi Layer Nylon Bag Female Crossbody Bags Woman Crossbody Mother Bag Shoudler Bag","USD 17.20","USD 11.35","34%","USD","8.0","USD 0.91","93","98.0%","https://s.click.aliexpress.com/e/_DBGWt8P",,,,,,
"1005003117424590","https://ae04.alicdn.com/kf/H0d5c04e3de8448b7af6b7cc1b0dd7c78A.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/326352371730.mp4","2022 New Fashion Women Bag Simple Circular Messenger Bag Female Mini Round Handbag PU Leather Ladies Crossbody Bag Bolsas","USD 6.41","USD 4.17","35%","USD","7","USD 0.29","22","96.0%","https://s.click.aliexpress.com/e/_DlGmPZ1",,,,,,
"1005002140569365","https://ae04.alicdn.com/kf/H15b76e1105214a428483ac6df7a9dcf5d.jpg",,"2021 Faux Fur Women Handbags Heart Shaped Shoulder Bag Female Clutch Purse Chain Messenger Bag Plush Shoulder Crossbody Bag","USD 16.50","USD 4.95","70%","USD","7","USD 0.35","193","96.4%","https://s.click.aliexpress.com/e/_DmM0yeJ",,,,,,
"1005004764067057","https://ae04.alicdn.com/kf/S95406b5387984ed4acc41f12d46d6661j.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100096347877.mp4","Large Capacity Tote Faux Fur Women Handbag Designer Brand Letter Shoulder Bag Short Handle Fluffy Plush Tote Bag Winter bolso","USD 32.17","USD 16.73","48%","USD","7","USD 1.17","24","100.0%","https://s.click.aliexpress.com/e/_DEZqXI7",,,,,,
"1005002293239337","https://ae04.alicdn.com/kf/H7466486db02f4518bad7ab2dee94e382b.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/317515792094.mp4","WEIXIER Fashion Multifunction Crossbody Bag for Male Bags Waterproof Shoulder Messenger Bags Short Trip Chest Bag Portable Bag","USD 39.92","USD 13.97","65%","USD","8.0","USD 1.12","31","98.7%","https://s.click.aliexpress.com/e/_DBsw8Dl",,,,,,
"1005001829287759","https://ae04.alicdn.com/kf/H3d114f4bee734340bbc5cd002c40374eL.jpg",,"Mini Canvas Shoulder Bags for Men Solid Colors Messenger Strong Fabric Vintage Style Crossbody Bags 2020 New Design","USD 28.76","USD 16.68","42%","USD","8.5","USD 1.42","25","97.8%","https://s.click.aliexpress.com/e/_Dc7ao7p",,,,,,
"1005003030305735","https://ae04.alicdn.com/kf/S46f52f38e3ff4a43bc5438a8e49fea10H.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/319520542600.mp4","2023 Casual Solid Color Women Bags Luxury Designer Shoulder HandBag Nylon Cloth Lady Messenger Mobile Phone Bag Wholesale","USD 16.45","USD 10.03","39%","USD","7","USD 0.70","182","94.5%","https://s.click.aliexpress.com/e/_DEDtfeT",,,,,,
"32827444414","https://ae04.alicdn.com/kf/U10376f430912456190ab0e00dd34bd9dK.jpg",,"TEGAOTE Floral Women Messenger Bag Nylon Women Shoulder Crossbody Bags Female Fashion Ladies Handbags School Bags Sac A Main","USD 33.22","USD 13.62","59%","USD","7","USD 0.95","32","100.0%","https://s.click.aliexpress.com/e/_DlKrnQ3",,,,,,
"1005004296717889","https://ae04.alicdn.com/kf/S78d33b8e703f42f9a7f0140c916fb93dK.jpg",,"WESTAL Leather Sling Bag Men's Side Bags Casual Sport Chest Pack Genuine Leather Shoulder Bags Black Travel Chest Bag 1808","USD 59.18","USD 26.63","55%","USD","7","USD 1.86","52","100.0%","https://s.click.aliexpress.com/e/_DkH4kSP",,,,,,
"1005002819723594","https://ae04.alicdn.com/kf/He188c48c347144f1bbd430c575b161c2y.jpg",,"Harajuku No Rain No Flowers Ladies Shopper Bags Handbag Flower Aesthetic Graphic Canvas Shopping Bags Totes Large Capacity","USD 8.98","USD 3.50","61%","USD","8.0","USD 0.28","30","80.0%","https://s.click.aliexpress.com/e/_DdJNAwf",,,,,,
"32975062372","https://ae04.alicdn.com/kf/Hc1ff83d49bd74f179f6e4c1428e0312fl.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/318267804084.mp4","JEEP BULUO Man Leather Bag Shoulder Crossbody Bags For Men Cow Split Leather Male iPad Business Messenger Bag Drop Shipping","USD 47.76","USD 23.88","50%","USD","8.0","USD 1.91","110","94.9%","https://s.click.aliexpress.com/e/_DCVsks7",,,,,,
"1005004379713372","https://ae04.alicdn.com/kf/S57bc861b884148c98313fc5fae6a029e6.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100096679232.mp4","Designer Funny Women Handbags Punk Ladies Shoulder Bag Vintage Small Crossbody Fashion Female Tote Purses 2022 New","USD 34.35","USD 17.86","48%","USD","8.0","USD 1.43","256","96.8%","https://s.click.aliexpress.com/e/_Dl1CGT1",,,,,,
"4000094633603","https://ae04.alicdn.com/kf/H7ffe592fd9424d148be6bea7d494632eb.jpg",,"Women Shoulder Bag 2019 New Fashion Luxury Handbags  Travel Vacation Personality Sexy Bag Woman Mini Bag Hanging Decoration Bag","USD 12.99","USD 9.87","24%","USD","7","USD 0.69","23","80.0%","https://s.click.aliexpress.com/e/_DEg9zfl",,,,,,
"1005004314095923","https://ae04.alicdn.com/kf/S3f9f1f90788e4e36837c7f130e148ed8J.jpg",,"Cartoon Totoro Embroidery Lamb Fabric Handbag for Women Girls Japan INS Shoulder Bag Tote Bag Soft Fur Shopper Bag","USD 11.22","USD 7.85","30%","USD","7","USD 0.55","1005","93.8%","https://s.click.aliexpress.com/e/_Dn1VeNH",,,,,,
"4000279060812","https://ae04.alicdn.com/kf/H67c50a55158b41ab8ed264fe212443c9m.jpg",,"Kids Waist Pack Waist Bag Cute Eyes Chest Bag Boy Girl Adjustable Fanny Children's Shoulder Belt Bags Travel Phone Pouch riñoner","USD 7.39","USD 4.80","35%","USD","18.0","USD 0.86","50","95.0%","https://s.click.aliexpress.com/e/_DdLCdvD",,,,,,
"1005003004233860","https://ae04.alicdn.com/kf/Sc8105250def44afb8e3e51dd93adad3ec.jpg",,"Anime Manga Junji Ito Tomie Printing Tote Bag Women Japanese Cartoon Fujiang Leisure Handbags Large Capability Shopping Bag Gift","USD 7.30","USD 4.60","37%","USD","7","USD 0.32","32","96.0%","https://s.click.aliexpress.com/e/_DEqIAdz",,,,,,
"1005001826064002","https://ae04.alicdn.com/kf/S9fea0a8482404a4685e216788d1bdfe0C.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/310761099193.mp4","Fashion Women Handbags Tassel PU Leather Totes Bag Top-handle Embroidery Crossbody Bag Shoulder Bag Lady Simple Style Hand Bags","USD 14.54","USD 14.54","0%","USD","7","USD 1.02","168","89.8%","https://s.click.aliexpress.com/e/_DBDgtPd",,,,,,
"1005002795285936","https://ae04.alicdn.com/kf/H16dbba970fad4599b0292894b4488952f.jpg",,"Women Shoulder Bag For Teenage Girl Small Handbag Cell Phone Wide Strap Flap Female Crossbody Bag Purse PU Leather Camara Bag","USD 9.89","USD 4.94","50%","USD","8.0","USD 0.40","29","0.0%","https://s.click.aliexpress.com/e/_DCi3WlH",,,,,,
"1005002605376165","https://ae04.alicdn.com/kf/S3cde4c87e41e42d289f8985c9d6aa4ccH.jpg",,"Hot Women Canvas Zipper Bag Preppy Style Student Tote Shoulder Messenger Bag Small Corduroy Bag Satchel Travel Purse Handbag","USD 9.29","USD 6.50","30%","USD","7","USD 0.46","2519","92.9%","https://s.click.aliexpress.com/e/_DEKie1H",,,,,,
"1005004926483907","https://ae04.alicdn.com/kf/S41e6cb4f682445baa4cfe8e3ddae0387V.jpg",,"Kangol Women's Backpack New Fashion Kangaroo Drawstring Bucket Bag Crossbody Shoulder Bag Mini Bag Purses and Handbags Designer","USD 41.15","USD 20.57","50%","USD","8.0","USD 1.65","25","93.3%","https://s.click.aliexpress.com/e/_DmE1prl",,,,,,
"32945489114","https://ae04.alicdn.com/kf/H15c20001226c40289d66d1e44dd0a124o.jpg",,"small anti-theft bagpack sling one shoulder sport bag waterproof travel small chest bag slim mini crossbody bag dropshipping","USD 32.86","USD 11.83","64%","USD","7","USD 0.83","120","100.0%","https://s.click.aliexpress.com/e/_DC22127",,,,,,
"1005004221268602","https://ae04.alicdn.com/kf/S077a51b7087f4f53b2908f89a38b45d6b.jpg",,"Women's bag 2022 Western style cat messenger bag Korean version fashion girly style shell bag ladies shoulder handbag","USD 13.32","USD 6.66","50%","USD","10.0","USD 0.67","64","96.7%","https://s.click.aliexpress.com/e/_DDryKyx",,,,,,
"1005003648689691","https://ae04.alicdn.com/kf/H48a4fbb0801040bebdda20839fde8b19z.jpg",,"Winter Plush Shoulder Totes Colorful Animal Totes Kids Handbags Girls Belts Purse Cartoon Children Unicorn Party Crossbody Bags","USD 6.60","USD 4.03","39%","USD","7","USD 0.28","25","100.0%","https://s.click.aliexpress.com/e/_DeeQwdl",,,,,,
"4000790105187","https://ae04.alicdn.com/kf/Sf8cb27a76ad145a09d5b3f47b0da1a796.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100092758326.mp4","OIWAS High Quality Waterproof Men's Crossbody Bag Mini Business Shoulder Bags Traveling Messenger Sling Pack Casual Handbags","USD 39.18","USD 20.37","48%","USD","8.0","USD 1.63","96","96.6%","https://s.click.aliexpress.com/e/_DDsaXBz",,,,,,
"1005003370086202","https://ae04.alicdn.com/kf/H105ce90182704e5eb4af49f41eb355f9w.jpg",,"Women Chest Bag Chinese Ethnic Style Hand Embroidery Pretty Flowers Casual Canvas Travel Shoulder Crossbody Bag High Quality","USD 13.50","USD 6.75","50%","USD","8.0","USD 0.54","29","96.7%","https://s.click.aliexpress.com/e/_DkOg1RH",,,,,,
"4000414158926","https://ae04.alicdn.com/kf/H6e641c8282eb4385a7f4ef918be425dcu.jpg",,"Women Bag Handbags Crossbody Canvas Bag for Woman 2022 Big Bag Canvas Shoulder Tote Female Handbags Lady Designer Messenger Bags","USD 28.17","USD 14.08","50%","USD","7","USD 0.99","22","90.0%","https://s.click.aliexpress.com/e/_DB3smFZ",,,,,,
